EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_CALLS
1507457197503,3,1
1507457267119,3,1
1507457368840,3,1
1507457441602,3,1
1507457628401,3,1
1507457774061,3,1
1507457803195,3,1
1507457804336,3,1
1507458146805,3,1
1507458194197,3,1
1507458406405,3,1
1507458505961,3,1
1507458738393,3,1
1507458748099,3,1
1507458809312,3,1
1507458818293,3,1
1507458849688,3,1
1507458869833,3,0
1507458879682,3,1
1507458881115,3,1
1507458909808,3,1
1507458911932,3,0
1507458912152,3,1
1507458919891,3,1
1507458932279,3,1
1507458932366,3,1
1507458941347,3,1
1507458951658,3,0
1507458980870,3,1
1507458981877,3,0
1507459002142,3,1
1507459011341,3,1
1507459012945,3,1
1507459013485,3,1
1507459067921,3,1
1507459079048,3,1
1507459108495,3,1
1507459108620,3,1
1507459110711,3,1
1507459111299,3,0
1507459119727,3,1
1507459120948,3,0
1507459131979,3,1
1507459138925,3,1
1507459141104,3,1
1507459142122,3,1
1507459232670,3,1
1507459240675,3,1
1507459242139,3,1
1507459243632,3,1
1507459251509,3,1
1507459252072,3,1
1507459253378,3,0
1507459254189,3,0
1507459261351,3,0
1507459272615,3,0
1507459280649,3,0
1507459281442,3,0
1507459281957,3,0
1507459282650,3,0
1507459282862,3,0
1507459284623,3,0
1507459292712,3,0
1507459293829,3,1
1507459294913,3,0
1507459313220,3,0
1507459313252,3,1
1507459315353,3,0
1507459316383,3,1
1507459334560,3,0
1507459347726,3,1
1507459352537,3,0
1507459372979,3,1
1507459374300,3,1
1507459431430,3,0
1507459443804,3,1
1507459450840,3,0
1507459451828,3,0
1507459454211,3,0
1507459459869,3,1
1507459460776,3,0
1507459464179,3,0
1507459474786,3,1
1507459480520,3,1
1507459482114,3,1
1507459493644,3,1
1507459510860,3,0
1507459511912,3,1
1507459511932,3,0
1507459512977,3,0
1507459514031,3,1
1507459514757,3,0
1507459562408,3,1
1507459606535,3,0
1507459616707,3,1
1507459636440,3,1
1507459637085,3,1
1507459637166,3,0
1507459644441,3,1
1507459645507,3,1
1507459646428,3,1
1507459647348,3,0
1507459655375,3,1
1507459657411,3,1
1507459663348,3,1
1507459805640,3,1
1507459845869,3,1
1507459865252,3,1
1507459895701,3,1
1507459939280,3,1
1507460007560,3,1
1507460589482,3,1
1507460623464,3,1
1507460652624,3,1
1507460704010,3,1
1507460722709,3,1
1507460743001,3,1
1507460744835,3,1
1507460746032,3,1
1507460751873,3,1
1507460755020,3,1
1507460775483,3,1
1507460782571,3,1
1507460920535,3,1
1507461103506,3,1
1507461144919,3,1
1507461155846,3,1
1507461385473,3,1
1507461829452,3,1
1507461840927,3,0
1507461862625,3,1
1507461871568,3,1
1507461872817,3,0
1507461891797,3,1
1507461902067,3,1
1507461902310,3,1
1507461912175,3,1
1507461967910,3,0
1507461969436,3,1
1507461978180,3,1
1507461991294,3,1
1507462031741,3,0
1507462032123,3,1
1507462153169,3,1
1507462163893,3,1
1507462170888,3,1
1507462173015,3,0
1507462183195,3,1
1507462183642,3,1
1507462189915,3,1
1507462192398,3,0
1507462193089,3,0
1507462199943,3,0
1507462203918,3,1
1507462203933,3,0
1507462204711,3,1
1507462210286,3,0
1507462212844,3,0
1507462214260,3,0
1507462223554,3,0
1507462224323,3,0
1507462224462,3,1
1507462230384,3,0
1507462235619,3,0
1507462243547,3,0
1507462243865,3,0
1507462244628,3,0
1507462245234,3,0
1507462245996,3,0
1507462251264,3,0
1507462253998,3,0
1507462255036,3,0
1507462261292,3,1
1507462265313,3,0
1507462265486,3,0
1507462273040,3,1
1507462275406,3,0
1507462330828,3,0
1507462331331,3,1
1507462341424,3,0
1507462354117,3,0
1507462364017,3,0
1507462374311,3,0
1507462374540,3,0
1507462394613,3,1
1507462403272,3,1
1507462404704,3,1
1507462425089,3,1
1507462434120,3,1
1507462442941,3,1
1507462443003,3,0
1507462444303,3,0
1507462464950,3,1
1507462464993,3,1
1507462482228,3,0
1507462483517,3,1
1507462495577,3,0
1507462502516,3,0
1507462526034,3,0
1507462532902,3,1
1507462546204,3,1
1507462546496,3,1
1507462594522,3,0
1507462773946,3,1
1507463136552,3,1
1507463331373,3,1
1507463349035,3,1
1507463438664,3,1
1507463660997,3,1
1507463822378,3,1
1507463851421,3,1
1507463903867,3,1
