EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_t2,VQ_COLOR_t3,VQ_COLOR_t4,VQ_COLOR_CALLS
1507457804336,-1,3,3,3,1
1507458146805,-1,-1,-1,-1,1
1507458505961,-1,-1,-1,-1,1
1507458738393,-1,-1,-1,1,1
1507458748099,-1,-1,2,2,1
1507458818293,-1,-1,-1,2,1
1507458849688,-1,-1,2,2,1
1507458869833,-1,-1,-1,-1,0
1507458879682,-1,2,2,2,1
1507458909808,-1,-1,-1,2,1
1507458911932,-1,-1,-1,2,0
1507458912152,-1,2,2,2,1
1507458932279,-1,-1,-1,-1,1
1507458932366,-1,-1,-1,-1,1
1507458941347,-1,-1,2,2,1
1507458951658,-1,-1,2,2,0
1507458980870,-1,-1,1,2,1
1507458981877,-1,-1,-1,-1,0
1507459002142,-1,-1,-1,-1,1
1507459011341,-1,-1,2,2,1
1507459012945,-1,-1,2,1,1
1507459013485,-1,-1,-1,2,1
1507459067921,-1,-1,2,2,1
1507459079048,-1,-1,-1,2,1
1507459108495,-1,-1,2,2,1
1507459111299,-1,-1,2,1,0
1507459119727,-1,-1,2,1,1
1507459131979,-1,-1,-1,-1,1
1507459138925,-1,-1,2,2,1
1507459141104,-1,-1,-1,2,1
1507459142122,-1,-1,2,2,1
1507459232670,-1,-1,2,1,1
1507459240675,-1,-1,2,2,1
1507459242139,-1,-1,3,3,1
1507459281442,-1,2,0,0,0
1507459282862,-1,-1,2,0,0
1507459284623,-1,-1,-1,2,0
1507459294913,-1,-1,0,0,0
1507459313220,-1,-1,-1,-1,0
1507459316383,-1,-1,2,0,1
1507459334560,-1,-1,2,0,0
1507459347726,-1,-1,-1,-1,1
1507459352537,-1,-1,2,0,0
1507459372979,-1,-1,-1,0,1
1507459374300,-1,-1,-1,0,1
1507459431430,-1,-1,-1,1,0
1507459443804,-1,1,2,2,1
1507459451828,-1,-1,2,2,0
1507459454211,-1,-1,-1,0,0
1507459459869,-1,-1,3,3,1
1507459464179,-1,-1,2,2,0
1507459474786,-1,-1,-1,-1,1
