EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_t2,VQ_COLOR_t3,VQ_COLOR_t4,VQ_COLOR_t5,VQ_COLOR_t6,VQ_COLOR_t7,VQ_COLOR_CALLS
1507553246371,3,0,0,0,0,0,0,1
1507556113278,3,0,0,0,0,0,0,1
1507558999373,3,0,0,0,0,0,0,0
1507562220341,3,0,0,0,0,0,2,1
1507568718367,3,0,0,0,0,0,0,1
1507572713290,3,0,0,0,0,0,2,0
1507585928488,3,0,0,0,0,0,0,1
1507589849722,3,0,0,0,0,0,0,0
1507594682059,3,0,0,0,0,0,2,0
1507610469508,3,0,0,0,0,0,0,1
1507614476190,3,0,0,0,0,0,0,0
1507627244348,3,0,0,0,0,0,0,1
1507631923920,3,0,0,0,0,0,0,0
1507635737389,3,0,0,0,0,0,0,1
1507636878247,3,3,0,0,0,0,0,1
1507653791908,3,0,0,0,0,0,0,1
1507668749722,3,0,0,0,0,0,2,1
1507672495124,3,0,0,0,0,0,2,1
1507676351425,3,0,0,0,0,0,0,0
1507715357745,3,0,0,0,0,0,0,1
1507719419215,3,0,0,0,0,0,0,1
1507720404027,3,0,0,0,0,0,0,1
1507729260991,3,0,0,0,0,0,2,0
1507734434678,3,0,0,0,0,0,0,1
1507735876617,3,0,0,0,0,0,0,1
1507745117185,3,3,0,0,0,0,0,1
1507751470748,3,0,0,0,0,0,0,0
1507762200376,3,3,0,0,0,0,0,1
1507764768513,3,0,0,0,0,0,0,0
1507774542715,3,0,0,0,0,0,0,0
1507793076380,3,0,0,0,0,0,2,0
1507812045411,3,0,0,0,0,0,0,0
1507814644580,3,0,0,0,0,0,0,1
1507848450929,3,3,0,0,0,0,0,0
1507859027420,3,0,0,0,0,0,0,1
1507860164100,3,0,0,0,0,0,0,1
1507867023807,3,3,0,0,0,0,0,0
1507870606195,3,0,0,0,0,0,2,1
1507883755667,3,0,0,0,0,0,0,0
1507887595550,3,3,0,0,0,0,0,1
1507891368988,3,0,0,0,0,0,0,0
1507892299254,3,0,0,0,0,0,0,0
1507894741917,3,0,0,0,0,0,0,0
1507898367073,3,0,0,0,0,0,0,1
1507913500638,3,0,0,0,0,0,0,1
1507920321338,3,3,0,0,0,0,0,0
1507930467596,3,0,0,0,0,0,0,0
1507938217060,3,0,0,0,0,0,0,1
1507945355165,3,0,0,0,0,0,0,1
1507949882095,3,3,0,0,0,0,1,0
1507954099359,3,0,0,0,0,0,0,0
1507961044476,3,0,0,0,0,0,0,0
1507984083507,3,0,0,0,0,0,0,1
1507989876287,3,0,0,0,0,0,0,0
1507994178035,3,0,0,0,0,0,0,1
1507995051627,3,0,0,0,0,0,0,0
1507995370046,3,0,0,0,2,0,0,1
1508016162499,3,0,0,0,0,0,0,0
1508021915619,3,0,0,0,0,0,0,1
1508025151087,3,0,0,0,0,0,0,0
1508038755468,3,0,0,0,0,0,2,0
1508090477584,3,0,0,0,0,0,0,1
1508096598927,3,0,0,0,0,0,0,0
1508117381827,3,0,0,0,0,0,2,0
1508117502324,3,0,0,0,0,0,2,0
1508118595520,3,0,0,0,0,0,0,0
1508123566372,3,0,0,0,0,0,0,0
1508137669067,3,0,0,0,0,0,0,1
1508162067605,3,0,0,0,0,0,0,0
1508194249691,3,0,0,0,0,0,0,1
1508204918394,3,0,0,0,0,0,0,1
1508206182186,3,0,0,0,0,0,2,1
1508210071753,3,0,0,0,0,0,0,0
1508227679197,3,0,0,0,0,0,0,1
1508239656670,3,0,0,0,0,0,0,0
1508240250808,3,0,0,0,0,0,2,1
1508259431038,3,0,0,0,0,0,0,0
1508264114383,3,3,0,0,0,0,0,1
1508267224034,3,0,0,0,0,0,0,1
1508275201630,3,3,0,0,0,0,0,0
1508294618838,3,0,0,0,0,0,0,1
1508302734120,3,0,0,0,0,0,0,1
1508308060070,3,0,0,0,0,0,0,1
1508311573644,3,0,0,0,0,0,0,0
1508311924654,3,0,0,0,0,0,0,1
1508341756742,3,0,0,0,0,0,0,0
1508347037173,3,0,0,0,0,0,0,1
1508355801886,3,0,0,0,0,0,0,0
1508361574033,3,0,0,0,0,0,0,0
1508367450773,3,0,0,0,0,0,2,1
1508375969256,3,0,0,0,0,0,0,1
1508385904559,3,0,0,0,0,0,2,1
1508428936980,3,0,0,0,0,0,0,0
1508430361394,3,3,0,0,0,0,0,1
1508431706073,3,0,0,0,0,0,2,0
1508435805304,3,0,0,0,0,0,0,1
1508448821098,3,0,0,0,0,0,0,1
1508454223283,3,0,0,0,0,0,0,1
1508463085799,3,0,0,0,0,0,0,1
1508463765175,3,0,0,0,0,2,0,0
1508472159985,3,0,0,0,0,0,0,0
1508472932208,3,0,0,0,0,0,0,0
1508476865218,3,0,0,0,0,0,2,0
1508482117996,3,0,0,0,0,2,0,0
1508485857895,3,0,0,0,0,0,0,1
1508491018029,3,0,0,0,0,0,0,0
1508499543545,3,0,0,0,0,0,0,0
1508512269348,3,3,0,0,0,0,0,0
1508515211143,3,0,0,0,0,0,2,0
1508517804064,3,0,0,0,0,0,2,0
1508518161244,3,0,0,0,0,0,2,1
1508518399086,3,0,0,0,0,0,0,0
1508522776410,3,0,0,0,0,0,0,0
1508558628061,3,0,0,0,0,0,0,0
1508569093577,3,0,0,0,0,0,0,0
1508578689199,3,0,0,0,0,0,0,0
1508580479082,3,0,0,0,0,0,0,1
1508583841398,3,0,0,0,0,0,0,0
1508617949839,3,0,0,0,0,0,0,0
1508618911502,3,0,0,0,0,0,2,1
1508621665157,3,0,0,0,0,2,0,1
1508621788491,3,0,0,0,0,0,0,0
1508622395647,3,3,0,0,0,0,0,1
1508633921047,3,0,0,0,0,0,0,0
1508648591823,3,0,0,0,0,0,0,0
1508662386109,3,3,0,0,0,0,2,0
1508684418674,3,0,0,0,0,0,0,0
1508686059989,3,0,0,0,0,0,0,0
1508694444603,3,0,0,0,0,0,0,1
1511110093545,3,3,3,3,3,3,3,0
