EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_t2,VQ_COLOR_t3,VQ_COLOR_t4,VQ_COLOR_t5,VQ_COLOR_t6,VQ_COLOR_t7,VQ_COLOR_t8,VQ_COLOR_CALLS
1507762200376,3,3,2,2,2,2,2,2,1
1507867023807,3,3,2,2,2,2,2,2,0
1507920321338,3,3,1,1,2,2,2,2,0
1508264114383,3,3,2,2,2,2,2,2,1
1508430361394,3,3,0,0,1,1,0,0,1
1508463765175,3,2,2,1,2,2,2,2,0
1508512269348,3,3,2,2,2,2,2,2,0
1508583841398,3,2,0,1,2,1,1,1,0
1508622395647,3,3,0,0,0,0,0,0,1
1508662386109,3,3,2,2,2,2,2,2,0
1511110093545,3,3,3,3,3,3,3,2,0
1511110184678,3,3,3,3,3,2,2,2,1
1511111861332,3,3,3,3,3,3,2,2,0
1511121022389,3,3,3,3,2,2,2,2,0
1511122133012,3,3,3,2,2,2,3,2,0
1511152943328,3,3,3,3,3,3,3,2,1
1511157402634,3,3,3,3,3,3,3,2,1
1511158724664,3,3,2,2,2,2,2,2,1
1511160657159,3,3,3,3,3,3,2,2,1
1511161029522,3,3,3,3,3,3,3,3,1
1511161075849,3,3,3,3,3,3,2,2,0
1511161555442,3,3,3,3,3,2,2,2,1
1511161877183,3,3,3,3,3,3,3,2,1
1511161923480,3,3,3,3,3,3,3,2,1
1511162811791,3,3,3,2,2,3,2,3,1
1511163463184,3,3,3,3,3,3,3,2,1
1511164200424,3,3,3,3,3,3,3,2,1
1511164242882,3,3,3,2,2,2,3,2,0
1511164772039,3,3,3,3,3,3,3,2,1
1511165342097,3,3,3,3,3,3,3,2,1
1511165609167,3,3,3,3,3,3,3,3,0
1511165706979,3,3,3,3,3,3,2,2,1
1511167979554,3,3,3,3,3,3,3,2,0
1511168731810,3,3,3,3,3,3,3,2,1
1511168931876,3,3,3,3,3,3,3,2,1
1511169114145,3,3,2,2,3,2,2,2,1
1511169801442,3,3,3,2,2,3,2,3,1
1511169906262,3,3,3,2,2,2,2,2,0
1511170191886,3,3,3,3,3,3,2,2,0
1511170439032,3,3,3,3,3,3,1,3,1
1511171808320,3,3,3,3,3,3,2,2,0
1511172024703,3,3,3,3,2,2,3,2,0
1511172902172,3,3,3,3,3,3,3,2,1
1511173914304,3,3,3,3,3,3,3,3,0
1511174575860,3,3,3,3,3,3,3,2,0
1511175176967,3,3,3,3,3,3,3,2,0
1511176050209,3,3,3,3,3,3,2,3,1
1511177795241,3,3,3,3,3,3,3,3,1
1511178946065,3,3,3,3,3,3,3,3,0
1511179796602,3,3,3,3,3,3,3,3,1
1511179935930,3,3,3,3,3,3,3,2,0
1511180410417,3,3,3,2,2,3,2,3,0
1511181726408,3,3,3,3,3,3,3,2,0
1511182655322,3,3,3,3,3,3,3,2,1
1511183017235,3,3,3,3,3,3,2,2,0
1511183155904,3,3,3,3,3,3,3,3,1
1511183437947,3,3,3,3,3,3,3,3,0
1511184067722,3,3,3,2,2,2,3,2,1
1511184835016,3,3,3,3,2,2,3,2,1
1511185102151,3,3,3,3,3,3,3,3,1
1511185985198,3,3,3,3,3,2,3,2,0
1511186781641,3,3,3,3,3,1,2,2,1
1511186820159,3,3,3,3,3,3,3,2,0
1511188101500,3,3,3,3,3,3,2,2,0
1511189121569,3,3,3,3,3,3,3,2,1
1511190421750,3,3,3,3,3,3,3,2,0
1511195117007,3,3,3,3,3,3,3,3,1
1511246170020,3,3,3,3,3,3,3,3,1
1511246339931,3,3,3,2,2,3,2,3,1
1511246917748,3,3,3,3,3,3,2,3,0
1511247662582,3,3,3,3,2,3,2,3,1
1511248568600,3,3,3,3,2,2,2,3,0
1511250094283,3,3,3,3,2,3,2,3,0
1511250305432,3,3,2,3,2,2,2,2,1
1511251581580,3,3,3,3,3,3,3,3,0
1511252504877,3,3,3,2,2,2,2,2,1
1511252600232,3,3,3,3,3,3,3,3,0
1511253801566,3,3,3,3,2,2,3,2,1
1511253992340,3,3,3,2,3,2,2,2,0
1511255603532,3,3,3,3,3,3,3,3,0
1511263950004,3,3,3,3,3,3,3,2,1
1511264078806,3,3,3,2,2,2,2,2,0
1511266859036,3,3,3,3,3,3,3,3,0
1511267299228,3,3,3,3,3,2,2,2,1
1511267579154,3,3,3,3,3,3,2,2,0
1511268208121,3,3,3,3,3,3,3,2,0
1511268552533,3,3,3,3,3,2,2,2,1
1511273130310,3,3,3,3,3,3,3,2,1
1511273619741,3,3,3,3,3,3,3,2,1
1511274259764,3,3,3,3,3,3,2,3,1
1511274580311,3,3,3,2,3,2,3,2,1
1511336433210,3,3,3,2,2,2,3,2,1
1511336449627,3,3,2,2,2,2,2,2,1
1511337411700,3,3,3,2,2,2,2,2,0
1511337601744,3,3,3,3,2,2,2,2,1
1511337661092,3,3,3,3,3,3,3,3,1
1511342524601,3,3,2,3,2,2,2,2,1
1511342890105,3,3,3,3,3,3,3,3,1
1511345997537,3,3,3,3,3,3,3,2,1
1511346037663,3,3,3,3,3,3,2,3,1
1511347571973,3,3,3,3,2,2,2,2,1
1511359298781,3,3,2,3,2,2,2,3,1
1511363826492,3,3,2,3,3,3,3,3,0
1511368662972,3,3,3,3,3,3,3,3,0
1511420848960,3,3,3,2,2,2,2,2,1
1511420997512,3,3,3,3,2,2,3,2,1
1511421015134,3,3,3,3,3,3,2,2,1
1511422007257,3,3,3,3,3,3,3,2,0
1511424864225,3,3,2,3,3,3,3,3,1
1511436421298,3,3,3,3,2,2,2,3,0
1511679956010,3,3,3,2,3,3,3,3,1
1511682103913,3,3,3,3,3,3,3,3,0
1511687237446,3,3,3,3,2,3,2,2,0
1511689882472,3,2,2,2,2,3,2,2,1
1511699577154,3,3,3,2,2,2,2,2,1
1511758819586,3,3,3,2,2,2,2,2,0
1511769567088,3,3,3,3,3,3,3,2,1
1511769891148,3,3,2,2,2,2,2,2,1
1511771130361,3,3,3,2,3,3,3,3,0
1511780163367,3,3,2,3,3,3,3,3,0
1511784534636,3,3,3,3,3,3,3,2,1
1511785675622,3,3,3,3,3,3,3,3,1
1511786635987,3,3,3,3,3,3,3,3,1
1511789279898,3,3,3,2,2,2,2,2,1
1511790122652,3,3,3,3,3,3,3,2,1
1511794247341,3,3,3,3,3,3,3,3,1
1511794354273,3,3,2,3,2,3,2,3,0
1511794687803,3,3,3,3,3,3,3,3,0
1511794739231,3,3,3,3,3,3,3,3,0
1511797550617,3,3,3,3,2,3,2,2,0
1511847261871,3,3,3,3,2,2,2,2,1
1511854541708,3,3,3,2,2,3,2,3,1
1511856630102,3,3,2,3,2,2,2,2,1
1511857024694,3,3,3,3,2,2,2,2,1
1511857312743,3,3,2,3,2,2,2,2,1
1511864325524,3,3,3,3,2,2,2,2,0
1511866626742,3,3,3,2,2,3,3,2,0
1511871064103,3,3,2,3,3,3,3,3,0
1511877827635,3,3,3,2,3,2,2,2,1
1511881030470,3,3,2,3,3,3,3,3,0
1511882304587,3,3,3,2,3,3,2,2,1
1511940553403,3,3,3,3,3,3,2,3,0
1511942764420,3,3,3,3,2,2,2,2,1
1511945555108,3,3,3,3,3,3,3,2,1
1511946911563,3,3,3,3,2,2,2,2,1
1511948094739,3,3,2,3,3,3,3,3,0
1511950599863,3,3,3,3,3,3,2,3,1
1511954110055,3,3,2,2,3,2,2,2,0
1511962824933,3,3,3,3,2,3,2,2,1
1511968666523,3,3,3,3,3,3,3,3,0
1511969336142,3,3,2,3,2,3,2,3,1
1511975848391,3,3,3,3,3,3,3,2,1
1511976139748,3,3,3,3,3,3,3,3,1
1511976425798,3,3,3,3,2,2,2,2,1
1511977341862,3,3,2,3,2,2,2,2,1
1512030428292,3,3,2,3,2,3,2,3,0
1512030583898,3,3,2,2,3,2,3,3,0
1512030873909,3,3,3,2,3,2,3,2,0
1512037888230,3,2,2,2,3,2,2,2,0
1512042783671,3,3,3,3,3,3,3,3,1
1512045139411,3,3,3,3,3,3,3,3,1
1512047559010,3,3,2,3,3,3,3,3,0
1512048379906,3,3,3,3,3,3,3,2,0
1512287137418,3,3,2,3,2,3,3,0,1
1512287434364,3,3,2,3,3,3,3,3,1
1512291867452,3,3,3,2,2,2,2,2,1
1512292030742,3,3,3,3,2,2,2,2,1
1512292441995,3,3,2,3,2,3,3,2,1
1512296718730,3,3,2,3,2,2,2,2,1
1512296734402,3,3,3,3,3,3,2,2,1
1512300346129,3,3,2,3,3,3,3,3,1
1512305363990,3,3,2,2,3,2,3,3,1
1512305659148,3,3,3,3,3,3,3,3,1
1512308094084,3,3,3,3,3,3,3,2,1
1512308389109,3,3,2,3,2,3,2,3,1
1512308684151,3,3,3,3,3,3,3,2,1
1512309708256,3,3,3,3,3,3,3,2,1
1512312216635,3,3,2,3,3,3,3,3,1
1512370807964,3,3,3,3,2,3,3,3,1
1512373705898,3,3,2,3,2,2,2,2,1
1512377361473,3,3,3,3,2,3,2,2,1
1512378204040,3,3,2,3,3,3,3,3,1
1512379241465,3,3,3,2,2,2,2,2,1
1512380863994,3,3,3,2,2,2,2,2,1
1512394465699,3,3,3,2,2,2,2,2,1
1512394796505,3,3,3,3,2,2,2,2,1
1512395102713,3,3,3,3,2,2,2,2,1
1512455936200,3,3,2,3,2,2,2,2,1
1512456774311,3,3,3,3,2,2,2,2,1
1512462898469,3,3,2,3,2,2,2,2,1
1512463798921,3,3,2,3,2,2,2,2,1
1512467183258,3,3,3,3,3,3,3,2,1
1512467367571,3,3,2,3,2,3,3,2,1
1512478734973,3,3,3,2,2,2,2,2,1
1512478794344,3,3,3,2,2,2,3,3,1
1512479716138,3,3,3,3,2,2,2,2,1
1512485644987,3,3,2,2,2,2,2,2,1
1512485853870,3,3,3,3,2,2,2,2,1
1512485885036,3,3,2,3,2,2,2,2,1
1512544048008,3,3,3,3,3,3,3,3,1
1512546809036,3,3,3,2,2,2,2,2,1
1512547928471,3,3,3,3,2,2,2,3,1
1512547945304,3,3,3,3,3,3,2,2,1
1512553114492,3,3,2,3,2,2,2,2,1
1512553611580,3,3,2,3,2,3,2,3,0
1512553761918,3,3,2,3,2,3,2,3,0
1512554011540,3,3,3,3,2,2,2,3,0
1512560349685,3,3,2,3,2,2,2,2,1
1512565790287,3,3,3,2,3,2,2,2,1
1512571903667,3,3,3,3,3,3,3,2,1
1512577824177,3,3,3,2,3,3,3,2,1
1512627760995,3,3,3,3,2,2,2,2,1
1512630060813,3,3,2,3,2,2,2,2,1
1512631030015,3,3,2,3,2,2,2,2,1
1512633578051,3,3,3,2,2,2,2,2,1
1512636520173,3,3,3,2,2,3,2,3,1
1512642322158,3,3,2,3,3,3,3,3,1
1512642340357,3,3,2,3,3,3,3,3,1
1512642507155,3,3,3,2,2,2,3,2,1
1512645281255,3,3,3,3,3,2,2,2,1
1512646209740,3,3,3,2,2,2,2,2,1
1512648141822,3,3,3,2,3,2,3,2,0
1512648165965,3,3,2,2,2,2,2,2,1
1512653335753,3,3,3,3,3,3,3,2,1
1512885246496,3,3,2,3,2,2,3,2,1
1512895451088,3,3,3,3,3,3,3,3,1
1512895721678,3,3,2,3,2,3,2,3,1
1512896176609,3,3,3,3,3,3,3,3,0
1512896878373,3,3,3,3,3,3,3,3,1
1512899458693,3,3,3,2,3,3,2,2,1
1512914308512,3,3,3,3,2,2,3,2,1
1512915958528,3,3,2,2,3,2,3,2,1
1512918500417,3,3,3,3,3,2,2,2,1
1512980604291,3,3,3,2,2,2,2,2,1
1512985853773,3,3,3,2,2,2,2,2,1
1512986331527,3,3,3,2,2,2,2,2,1
1512994028977,3,3,3,3,3,3,3,3,1
1512998947124,3,3,2,3,2,3,2,3,1
1512999301183,3,3,3,2,2,2,2,2,1
1512999645009,3,3,3,2,2,2,2,2,1
1513063540231,3,3,3,2,2,2,2,2,1
1513064144890,3,3,2,2,3,2,2,2,1
1513066337678,3,3,3,2,2,2,2,2,1
1513066366143,3,3,2,2,2,2,2,2,1
1513066381450,3,3,3,2,2,2,2,2,1
1513066847117,3,3,3,3,3,3,3,2,0
1513066900972,3,3,2,3,2,2,2,2,1
1513067105652,3,3,3,2,2,3,2,3,1
1513068407143,3,3,3,3,3,3,3,3,0
1513070967317,3,3,3,2,3,2,3,2,1
1513071762210,3,3,3,2,2,2,2,2,1
1513072314476,3,3,3,2,2,2,2,2,1
1513073583613,3,3,3,3,3,3,2,3,0
1513077122525,3,3,2,3,3,3,3,3,1
1513081082271,3,3,3,3,2,2,2,2,1
1513083294053,3,3,2,3,2,3,2,3,1
1513084871498,3,3,3,3,3,3,2,2,1
1513089922789,3,3,3,2,3,3,3,2,1
1513145671506,3,3,3,2,2,2,2,2,1
1513151092476,3,3,3,3,3,3,0,3,1
1513154153172,3,3,3,3,2,2,2,2,1
1513155240041,3,3,2,2,2,2,2,2,1
1513155267388,3,3,3,3,2,2,2,2,1
1513155407167,3,3,2,3,2,2,2,2,1
1513156408065,3,3,3,2,2,2,2,2,1
1513156606445,3,3,2,2,2,2,2,2,1
1513158303854,3,3,2,3,2,2,2,2,1
1513162980207,3,3,3,3,3,3,3,2,0
1513171185681,3,3,3,3,3,2,3,2,1
1513176262289,3,3,3,3,3,2,2,2,1
1513184237869,3,3,3,3,3,3,2,2,1
1513237905208,3,3,3,3,3,3,2,2,0
1513246535079,3,3,2,3,2,3,3,2,1
1513249742180,3,3,3,3,3,3,3,2,1
1513250201579,3,3,3,3,3,3,3,2,1
1513251609828,3,3,3,3,3,3,2,3,0
1513260597469,3,3,3,2,2,2,2,2,1
1513261488332,3,3,3,3,2,2,2,2,1
1513502138923,3,3,3,3,3,3,3,3,1
1513502164501,3,3,3,3,3,3,3,2,1
1513502376805,3,3,3,3,3,3,3,3,1
1513502601481,3,3,3,3,3,3,3,3,1
1513502774227,3,3,2,3,2,3,2,3,1
1513502940913,3,3,3,3,3,3,2,3,1
1513504298736,3,3,2,3,2,2,3,2,1
1513511281511,3,3,3,2,3,2,2,2,1
1513516596664,3,3,3,2,2,3,2,3,0
1513519566811,3,3,3,3,3,3,3,3,1
1513523728122,3,3,2,2,2,2,2,2,1
1513523748622,3,3,3,3,2,2,2,2,1
1513524236701,3,3,3,3,2,2,3,2,1
1513524252869,3,3,2,3,3,3,2,2,1
1513524967148,3,3,3,3,2,2,2,2,1
1513583741830,3,3,2,2,2,2,2,2,1
1513585303592,3,3,3,3,2,2,2,3,0
1513588180086,3,3,3,3,3,3,2,2,1
1513593917093,3,3,3,3,3,2,2,2,1
1513595845043,3,3,2,3,2,2,2,2,1
1513595865467,3,3,3,3,2,2,2,2,1
1513595892084,3,3,2,2,2,2,2,2,1
1513595917966,3,3,2,3,2,2,2,2,1
1513595942797,3,3,3,3,2,2,2,2,0
1513595968531,3,3,3,3,2,2,2,2,1
1513595993288,3,3,3,2,2,2,3,2,1
1513596017365,3,3,3,3,2,2,2,2,1
1513596042685,3,3,3,2,2,2,2,2,1
1513596116574,3,3,3,2,2,2,2,2,0
1513596166815,3,3,2,2,2,2,2,2,0
1513596200624,3,3,3,2,2,2,2,2,1
1513596224591,3,3,3,2,2,2,2,2,1
1513596246361,3,3,3,3,2,2,2,2,1
1513596299089,3,3,3,2,2,3,2,3,1
1513596326126,3,3,2,3,2,2,2,2,1
1513596396444,3,3,3,3,2,2,2,2,1
1513596423274,3,3,3,2,2,2,2,2,1
1513596457252,3,3,3,2,2,2,2,2,1
1513596505767,3,3,3,2,2,2,2,2,1
1513596591532,3,3,3,3,2,2,2,2,1
1513596613354,3,3,3,3,2,2,2,2,1
1513596635693,3,3,3,3,2,2,2,2,0
1513596658587,3,3,2,2,2,2,2,2,1
1513596682746,3,3,3,2,2,2,3,2,1
