EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_t2,VQ_COLOR_t3,VQ_COLOR_t4,VQ_COLOR_t5,VQ_COLOR_t6,VQ_COLOR_t7,VQ_COLOR_t8,VQ_COLOR_CALLS
1507762200376,-1,-1,3,3,3,3,2,2,1
1507867023807,-1,-1,3,3,3,3,2,2,0
1507920321338,-1,-1,3,3,3,3,2,2,0
1508264114383,-1,-1,3,3,3,3,2,2,1
1508430361394,-1,-1,3,3,3,3,3,3,1
1508463765175,-1,3,3,3,3,2,2,2,0
1508512269348,-1,-1,3,3,3,3,2,2,0
1508583841398,-1,3,3,3,1,1,2,1,0
1508622395647,-1,-1,3,3,3,3,1,1,1
1508662386109,-1,-1,3,3,2,2,2,2,0
1511110093545,-1,-1,-1,-1,-1,-1,-1,0,0
1511110184678,-1,-1,-1,-1,-1,2,2,2,1
1511111861332,-1,-1,-1,-1,-1,-1,2,2,0
1511121022389,-1,-1,-1,-1,2,2,2,2,0
1511122133012,-1,-1,-1,2,2,2,-1,2,0
1511152943328,-1,-1,-1,-1,-1,-1,-1,2,1
1511157402634,-1,-1,-1,-1,-1,-1,-1,2,1
1511158724664,-1,-1,2,2,2,2,2,2,1
1511160657159,-1,-1,-1,-1,-1,-1,2,2,1
1511161029522,-1,-1,-1,-1,-1,-1,-1,-1,1
1511161075849,-1,-1,-1,-1,-1,-1,2,0,0
1511161555442,-1,-1,-1,-1,-1,2,2,2,1
1511161877183,-1,-1,-1,-1,-1,-1,-1,0,1
1511161923480,-1,-1,-1,-1,-1,-1,-1,1,1
1511162811791,-1,-1,-1,3,3,-1,3,-1,1
1511163463184,-1,-1,-1,-1,-1,-1,-1,2,1
1511164200424,-1,-1,-1,-1,-1,-1,-1,2,1
1511164242882,-1,-1,-1,3,3,3,-1,3,0
1511164772039,-1,-1,-1,-1,-1,-1,-1,2,1
1511165342097,-1,-1,-1,-1,-1,-1,-1,2,1
1511165609167,-1,-1,-1,-1,-1,-1,-1,-1,0
1511165706979,-1,-1,-1,-1,-1,-1,0,2,1
1511167979554,-1,-1,-1,-1,-1,-1,-1,2,0
1511168731810,-1,-1,-1,-1,-1,-1,-1,2,1
1511168931876,-1,-1,-1,-1,-1,-1,-1,0,1
1511169114145,-1,-1,3,3,-1,3,3,0,1
1511169801442,-1,-1,-1,3,3,-1,3,-1,1
1511169906262,-1,-1,-1,2,2,2,2,2,0
1511170191886,-1,-1,-1,-1,-1,-1,3,2,0
1511170439032,-1,-1,-1,-1,-1,-1,2,2,1
1511171808320,-1,-1,-1,-1,-1,-1,2,2,0
